"","DV","Group"
"1",21.43,"Waiting List"
"2",44.97,"Waiting List"
"3",10.72,"Waiting List"
"4",-4.83,"Waiting List"
"5",-13.7,"Waiting List"
"6",9.08,"Waiting List"
"7",-5.98,"Waiting List"
"8",-7.21,"Waiting List"
"9",6.87,"Waiting List"
"10",35.57,"Waiting List"
"11",2.88,"Waiting List"
"12",5.84,"Waiting List"
"13",21.64,"Waiting List"
"14",1.09,"Waiting List"
"15",21.18,"Waiting List"
"16",16.95,"Waiting List"
"17",-22.35,"Waiting List"
"18",-7.5,"Waiting List"
"19",-16.83,"Waiting List"
"20",-18.09,"Waiting List"
"21",3.96,"Waiting List"
"22",-4.37,"Waiting List"
"23",23.81,"Waiting List"
"24",-11.21,"Waiting List"
"25",-3.18,"Waiting List"
"26",5.62,"Waiting List"
"27",8.66,"Waiting List"
"28",-7.4,"Waiting List"
"29",-5.17,"Waiting List"
"30",3.87,"Waiting List"
"31",-3.94,"Waiting List"
"32",-3.84,"Waiting List"
"33",-47.62,"Waiting List"
"34",-5.61,"Waiting List"
"35",-0.59,"Waiting List"
"36",2.4,"Waiting List"
"37",-37.57,"Waiting List"
"38",-6.78,"Waiting List"
"39",-4.1,"Waiting List"
"40",2.54,"Waiting List"
"41",27.2,"Waiting List"
"42",5.18,"Waiting List"
"43",11.25,"Waiting List"
"44",-23.69,"Waiting List"
"45",0.34,"Waiting List"
"46",12.37,"Waiting List"
"47",-4.61,"Waiting List"
"48",12.54,"Waiting List"
"49",19.75,"Waiting List"
"50",11.43,"Waiting List"
"51",-17.63,"Waiting List"
"52",-20.81,"Waiting List"
"53",14.98,"Waiting List"
"54",-6.7,"Waiting List"
"55",3.24,"Waiting List"
"56",17.39,"Waiting List"
"57",2.25,"Waiting List"
"58",-37.86,"Waiting List"
"59",-6.99,"Waiting List"
"60",12.23,"Waiting List"
"61",23.49,"Waiting List"
"62",-0.59,"Waiting List"
"63",14.2,"Waiting List"
"64",9.34,"Waiting List"
